label,message
ham,C movie is juz last minute decision mah. Juz watch 2 lar but i tot Ã_ not interested.
ham,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.
ham,PS U no ur a grown up now right?
ham,Hey come online! Use msn... We are all there
ham,See? I thought it all through
ham,Try neva mate!!
spam,URGENT! Your Mobile number has been awarded with a Ã¥Â£2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only
ham,I HAVE A DATE ON SUNDAY WITH WILL!!
ham,Arun can u transfr me d amt
spam,You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3
ham,I love u 2 my little pocy bell I am sorry but I love u
ham,"I am real, baby! I want to bring out your inner tigress..."
ham,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL"
ham,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.
ham,"U wake up already? Wat u doing? U picking us up later rite? I'm taking sq825, reaching ard 7 smth 8 like dat. U can check e arrival time. C ya soon..."
ham,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?"
spam,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY Ã¥Â£10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&
ham,"Cool, text me when you head out"
ham,"Erm ÂÃ_ ill pick you up at about 6.45pm. That'll give enough time to get there, park and that."
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester."
ham,"Alright, we're all set here, text the man"
ham,Oh ok i didnt know what you meant. Yep i am baby jontin
ham,When you guys planning on coming over?
ham,Gokila is talking with you aha:)
ham,"Yeah that's what I thought, lemme know if anything's goin on later"
ham,"If e timing can, then i go w u lor..."
ham,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
spam,"Urgent! Please call 09066612661 from your landline, your complimentary 4* Lux Costa Del Sol holiday or Ã¥Â£1000 CASH await collection. ppm 150 SAE T&Cs James 28, EH74RR"
ham,"I know where the  &lt;#&gt;  is, I'll be there around 5"
spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs
spam,Valentines Day Special! Win over Ã¥Â£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201
ham,Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am
ham,Wait 2 min..stand at bus stop
ham,I want to tell you how bad I feel that basically the only times I text you lately are when I need drugs
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...
ham,"Ugh y can't u just apologize, admit u were wrong and ask me to take u back?"
ham,Its too late:)but its k.wish you the same.
ham,"I can't, I don't have her number!"
ham,Is xy going 4 e lunch?
ham,Don know..he is watching film in computer..
ham,Fuck cedar key and fuck her (come over anyway tho)
ham,Most of the tiime when i don't let you hug me it's so i don't break into tears.
ham,Bring it if you got it
ham,"They can try! They can get lost, in fact. Tee hee"
ham,Don no da:)whats you plan?
ham,U r too much close to my heart. If u go away i will be shattered. Plz stay with me.
spam,"For ur chance to win a Ã¥Â£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk"
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!"
ham,Is there any training tomorrow?
ham,"I call you later, don't have network. If urgnt, sms me."
ham,Do have a nice day today. I love you so dearly.
ham,Thank you. I like you as well...
ham,Hahaha..use your brain dear
ham,But i juz remembered i gotta bathe my dog today..
ham,S...i will take mokka players only:)
ham,"Jay told me already, will do"
ham,Also hi wesley how've you been
ham,Yup. Wun believe wat? U really neva c e msg i sent shuhui?
spam,"Congratulations! Thanks to a good friend U have WON the Ã¥Â£2,000 Xmas prize. 2 claim is easy, just call 08718726971 NOW! Only 10p per minute. BT-national-rate."
ham,Oh did you charge camera
ham,Will Ã_ b going to esplanade fr home?
ham,Daddy will take good care of you :)
ham,Height of recycling: Read twice- People spend time for earning money and the same money is spent for spending time!;-) Good morning.. keep smiling:-)
ham,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon
ham,Wewa is 130. Iriver 255. All 128 mb.
ham,"Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later"
ham,Lol alright i was thinkin that too haha
ham,2 and half years i missed your friendship:-)
ham,Jus ans me lar. U'll noe later.
ham,Dude we should go sup again
spam,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546
ham,Thanks love. But am i doing torch or bold.
ham,S.this will increase the chance of winning.
spam,"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available"
ham,I accidentally brought em home in the box
ham,Mm not entirely sure i understood that text but hey. Ho. Which weekend?
ham,Cuz ibored. And don wanna study
ham,"Dad wanted to talk about the apartment so I got a late start, omw now"
ham,Jus finish bathing...
spam,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. Ã¥Â£1.50 increments. Help08718728876"
ham,Ok set let u noe e details later...
spam,You have WON a guaranteed Ã¥Â£1000 cash or a Ã¥Â£2000 prize.To claim yr prize call our customer service representative on
ham,"Jus chillaxin, what up"
spam,todays vodafone numbers ending with 0089(my last four digits) are selected to received a Ã¥Â£350 award. If your number matches please call 09063442151 to claim your Ã¥Â£350 award
ham,Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI
ham,Tell them u have a headache and just want to use 1 hour of sick time.
ham,Try to do something dear. You read something for exams
ham,here is my new address -apples&pairs&all that malarky
ham,Yup but it's not giving me problems now so mayb i'll jus leave it...
ham,Ok going to sleep. Hope i can meet her.
ham,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance.."""
ham,"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt..."
ham,Hi Princess! Thank you for the pics. You are very pretty. How are you?
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0
ham,NO GIFTS!! You trying to get me to throw myself off a cliff or something?
ham,"I dont knw pa, i just drink milk.."
spam,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a Ã¥Â£150 prize. To collect is easy. Just call 09061743386
ham,I.ll give her once i have it. Plus she said grinule greet you whenever we speak
ham,Draw va?i dont think so:)
ham,WOT U UP 2 J?
ham,Anything lor but toa payoh got place 2 walk meh...
ham,Keep my payasam there if rinu brings
ham,Dunno y u ask me.
ham,Where r we meeting?
ham,"Usf I guess, might as well take 1 car"
ham,"What do u reckon as need 2 arrange transport if u can't do it, thanks"
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
ham,Howz pain.it will come down today.do as i said ystrday.ice and medicine.
ham,IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx
ham,Hey darlin.. i can pick u up at college if u tell me wen & where 2 mt.. love Pete xx
ham,I have printed it oh. So  &lt;#&gt;  come upstairs
spam,Great News! Call FREEFONE 08006344447 to claim your guaranteed Ã¥Â£1000 CASH or Ã¥Â£2000 gift. Speak to a live operator NOW!
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
ham,No one interested. May be some business plan.
spam,"Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603"
ham,"Yo, the game almost over? Want to go to walmart soon"
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a Ã¥Â£1500 Bonus Prize, call 09066364589"
ham,Another month. I need chocolate weed and alcohol.
ham,"Okay, good, no problem, and thanx!"
ham,"I think your mentor is , but not 100 percent sure."
ham,I know she called me
ham,"sorry, no, have got few things to do. may be in pub later."
ham,Yes princess! I want to make you happy...
spam,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804
ham,Yar... I tot u knew dis would happen long ago already.
